epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,60.7674,0.6145,0.76108,0.98727,0.87243,0.80577,0.86928,0.78802,0.48337,0.72693,1.01746,0.0004357,0.0004357,0.0004357
59,61.5401,0.48662,0.69341,0.96125,0.86913,0.86413,0.86531,0.78552,0.57253,0.78395,1.11466,0.0004258,0.0004258,0.0004258
60,62.3251,0.58905,0.70703,0.97003,0.85756,0.84112,0.85941,0.76561,0.65958,0.85959,1.19423,0.0004159,0.0004159,0.0004159
61,63.1135,0.51082,0.72016,0.95515,0.91528,0.80337,0.86591,0.77267,0.56068,0.82446,1.05573,0.000406,0.000406,0.000406
62,63.9195,0.53777,0.72532,0.97194,0.86407,0.83971,0.8733,0.78616,0.44833,0.80059,0.97316,0.0003961,0.0003961,0.0003961
63,64.7355,0.55948,0.71155,0.98389,0.87605,0.82153,0.88175,0.79777,0.38368,0.69053,0.93539,0.0003862,0.0003862,0.0003862
64,65.5455,0.55398,0.69617,0.95479,0.80933,0.82686,0.88086,0.80497,0.38543,0.64109,0.92855,0.0003763,0.0003763,0.0003763
65,66.3537,0.50882,0.69612,0.96235,0.89646,0.76389,0.87583,0.79945,0.39023,0.65495,0.93019,0.0003664,0.0003664,0.0003664
66,67.2441,0.62802,0.74111,0.97843,0.81074,0.85807,0.87867,0.79499,0.40382,0.67777,0.94,0.0003565,0.0003565,0.0003565
67,68.0389,0.57581,0.71584,0.98682,0.83532,0.89332,0.89102,0.80472,0.40696,0.66025,0.94204,0.0003466,0.0003466,0.0003466
68,68.825,0.53192,0.68298,0.96644,0.87166,0.8491,0.88771,0.79442,0.39902,0.62177,0.93099,0.0003367,0.0003367,0.0003367
69,69.644,0.51026,0.69701,0.96258,0.89377,0.8328,0.88136,0.79315,0.39854,0.61374,0.93022,0.0003268,0.0003268,0.0003268
70,70.4397,0.56301,0.67082,0.97304,0.917,0.82469,0.87756,0.79243,0.38497,0.61204,0.92513,0.0003169,0.0003169,0.0003169
71,71.2407,0.55257,0.69132,0.94138,0.90871,0.83175,0.87916,0.80524,0.37554,0.58295,0.92279,0.000307,0.000307,0.000307
72,72.053,0.55727,0.6844,0.95809,0.88033,0.84435,0.88368,0.80912,0.36852,0.58396,0.92101,0.0002971,0.0002971,0.0002971
73,72.8634,0.48444,0.62764,0.95328,0.86828,0.8483,0.88254,0.80025,0.36649,0.5875,0.92118,0.0002872,0.0002872,0.0002872
74,73.7672,0.49864,0.62695,0.95378,0.85763,0.86856,0.86651,0.78549,0.4153,0.62669,0.95421,0.0002773,0.0002773,0.0002773
75,74.5654,0.5126,0.64532,0.95924,0.87401,0.86734,0.87917,0.79537,0.41296,0.58918,0.95791,0.0002674,0.0002674,0.0002674
76,75.3703,0.44381,0.64294,0.97077,0.8719,0.84018,0.8948,0.81624,0.40395,0.57597,0.96516,0.0002575,0.0002575,0.0002575
77,76.2045,0.50887,0.64162,0.94723,0.8452,0.85595,0.90349,0.81533,0.4911,0.58008,1.14444,0.0002476,0.0002476,0.0002476
78,77.0091,0.50276,0.66905,0.96396,0.84654,0.84236,0.90126,0.81809,0.50665,0.61858,1.18557,0.0002377,0.0002377,0.0002377
79,77.8141,0.50217,0.66099,0.95853,0.85157,0.87922,0.91037,0.82279,0.50915,0.61553,1.1615,0.0002278,0.0002278,0.0002278
80,78.7176,0.52098,0.66273,0.9652,0.86046,0.87062,0.9034,0.82006,0.47171,0.59496,1.03621,0.0002179,0.0002179,0.0002179
81,79.5238,0.56121,0.64416,0.96504,0.85581,0.8858,0.9027,0.82912,0.36931,0.50951,0.94035,0.000208,0.000208,0.000208
